open,high,low,close,adjusted_close,volume,dividend_amount,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,shortTermInvestments,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,shortTermDebt,totalNonCurrentLiabilities,longTermDebt,shortLongTermDebtTotal,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,operatingCashflow,depreciationDepletionAndAmortization,capitalExpenditures,cashflowFromInvestment,cashflowFromFinancing,dividendPayout,proceedsFromRepurchaseOfEquity,changeInCashAndCashEquivalents,netIncome,grossProfit,totalRevenue,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestExpense,depreciationAndAmortization,incomeBeforeTax,netIncomeFromContinuingOperations,ebit,ebitda,reportedEPS,estimatedEPS,surprisePercentage,shares_outstanding_diluted,shares_outstanding_basic,monthly_return,monthly_volatility,price_range_pct,volume_change,profit_margin,operating_margin,gross_margin,current_ratio,debt_to_equity,free_cash_flow,fcf_margin,ebitda_margin,interest_coverage
11.85,11.96,10.03,10.51,8.4272,1096746200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.18,5.5556,,,-0.11902820464571706,0.08757425137601178,0.18363463368220756,-0.004663644572709513,,,,,,,,,
10.39,10.97,9.78,9.97,7.9942,816386900,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.18,5.5556,,,-0.05138124169356362,0.0832203053588089,0.11935807422266813,-0.25562823924076505,,,,,,,,,
9.96,11.68,9.86,11.28,9.0446,1059378800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.09,11.1111,,,0.13139526156463455,0.12954746502649842,0.1613475177304965,0.29764306605115776,,,,,,,,,
11.65,12.81,11.51,12.66,10.1511,857008500,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.09,11.1111,,,0.12233819074364805,0.10301110124759781,0.10268562401263828,-0.19102732658044508,,,,,,,,,
12.72,13.5,12.51,12.74,10.2153,672734600,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.09,11.1111,,,0.006324437745663047,0.06974230230796048,0.07770800627943486,-0.21501992103928957,,,,,,,,,
12.74,14.87,12.66,13.72,11.0011,1144863500,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,23.0769,,,0.07692382994136238,0.058460712206517364,0.1610787172011661,0.7018055857391607,,,,,,,,,
13.88,14.01,12.19,13.77,11.0412,1060050800,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,23.0769,,,0.00364509003645086,0.04155563901686588,0.13217138707334788,-0.0740810585716114,,,,,,,,,
13.73,13.76,12.59,12.95,10.3837,750895600,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,23.0769,,,-0.0595496866282651,0.06829882166459766,0.09034749034749034,-0.29164187225744276,,,,,,,,,
13.01,13.8,12.23,12.48,10.0068,1043232200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,23.0769,,,-0.03629727361152568,0.03196260033901939,0.12580128205128208,0.3893172366438158,,,,,,,,,
12.56,12.73,11.25,11.56,9.2691,862007300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.15,6.6667,,,-0.07371987048806816,0.018894088928840595,0.12802768166089967,-0.17371482590357157,,,,,,,,,
